Altium Designer Pick and Place Locations
C:\Users\matip\Downloads\FRB_Simconex\FRB_Simconex\Project Outputs for FRB_Simconex\Pick Place for FRB_Simconex.csv

========================================================================================================================
File Design Information:

Date:       13/08/24
Time:       00:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D1","6A10","TopLayer","DO214AC","10.4002","20.2500","270","","10.4002","20.2500","10.4002","22.2150"
"TP6","TP","TopLayer","TPSMD","41.2500","15.0000","0","","41.2500","15.0000","41.2500","15.0000"
"TP5","TP","TopLayer","TPSMD","58.9075","15.0000","180","","58.9075","15.0000","58.9075","15.0000"
"TP4","TP","TopLayer","TPSMD","38.9000","40.0000","0","","38.9000","40.0000","38.9000","40.0000"
"TP2","TP","TopLayer","TPSMD","38.9000","35.0875","0","","38.9000","35.0875","38.9000","35.0875"
"TP1","TP","TopLayer","TPSMD","38.9000","30.1750","0","","38.9000","30.1750","38.9000","30.1750"
"C9","100nF","TopLayer","0805","42.9500","118.9000","180","","42.9500","118.9000","44.0930","118.9000"
"Q3","UMW AO3400A","TopLayer","SOT23","64.7000","15.0750","180","","65.6500","16.3500","65.6500","16.3500"
"U1A","ESP32","TopLayer","ESP32","73.9750","85.1750","90","","70.8750","85.1750","51.1150","72.4750"
"U1B","ESP32","TopLayer","ESP32","73.9750","86.1750","90","","70.8750","85.1750","51.1150","72.4750"
"U9","74HC595","TopLayer","SOIC16N","42.9500","110.9650","360","","42.9500","110.9650","40.4500","115.4100"
"Q13","UMW AO3400A","TopLayer","SOT23","37.0750","51.2250","180","","38.0250","52.5000","38.0250","52.5000"
"J13","BORNERA 3","TopLayer","BORNERA3","105.9000","86.9000","360","","105.9000","86.9000","105.9000","91.9000"
"J12","BORNERA 3","TopLayer","BORNERA3","105.9000","105.6000","360","","105.9000","105.6000","105.9000","110.6000"
"J11","BORNERA 3","TopLayer","BORNERA3","105.6000","70.4000","360","","105.6000","70.4000","105.6000","75.4000"
"J10","BORNERA 2","TopLayer","BORNERA2","9.0000","163.0000","180","","9.0000","163.0000","9.0000","160.5000"
"R41","0R","TopLayer","0805","60.1000","40.5680","270","","60.1000","40.5680","60.1000","41.7110"
"U8","RTC","TopLayer","DS3231","33.0500","138.4000","270","","33.0500","138.4000","39.4000","138.4000"
"U7","SD CARD READER","TopLayer","SD_CARD","65.6750","45.7750","180","","65.6750","45.7750","65.6750","39.4250"
"U6","4N25","TopLayer","SMD6","37.0750","62.2774","180","","37.0750","62.2774","41.4550","59.7374"
"U5","WHITEBOX T3","TopLayer","Whitebox_T3_for_Raspberry_Pi","78.2500","146.5500","180","","78.2500","146.5500","102.9950","123.9550"
"U4A","RS485-TTL CONVERTER","TopLayer","TTL-RS485_CONVERTER","50.0788","40.5700","270","","50.0788","40.5700","48.8088","60.8900"
"U4B","RS485-TTL CONVERTER","TopLayer","TTL-RS485_CONVERTER","50.0788","41.5700","270","","50.0788","40.5700","48.8088","60.8900"
"U3A","LM2596","TopLayer","LM2596_DC_TO_DC_CONVERTER_MODULE","24.8170","23.2030","90","","24.8170","23.2030","33.8848","3.1243"
"U3B","LM2596","TopLayer","LM2596_DC_TO_DC_CONVERTER_MODULE","24.8170","24.2030","90","","24.8170","23.2030","33.8848","3.1243"
"U3C","LM2596","TopLayer","LM2596_DC_TO_DC_CONVERTER_MODULE","24.8170","22.2030","90","","24.8170","23.2030","33.8848","3.1243"
"U3D","LM2596","TopLayer","LM2596_DC_TO_DC_CONVERTER_MODULE","24.8170","23.6030","90","","24.8170","23.2030","33.8848","3.1243"
"R40","10k","TopLayer","0805","31.5024","101.0000","270","","31.5024","101.0000","31.5024","102.1430"
"R39","2k2","TopLayer","0805","28.0750","101.0000","270","","28.0750","101.0000","28.0750","102.1430"
"R38","10k","TopLayer","0805","31.2500","81.0000","270","","31.2500","81.0000","31.2500","82.1430"
"R37","2k2","TopLayer","0805","28.0750","81.0000","270","","28.0750","81.0000","28.0750","82.1430"
"R36","10k","TopLayer","0805","31.2500","91.0000","270","","31.2500","91.0000","31.2500","92.1430"
"R35","2k2","TopLayer","0805","28.0750","91.0000","270","","28.0750","91.0000","28.0750","92.1430"
"R34","10k","TopLayer","0805","31.2500","71.0000","270","","31.2500","71.0000","31.2500","72.1430"
"R33","2k2","TopLayer","0805","28.0750","71.0000","270","","28.0750","71.0000","28.0750","72.1430"
